# TESS Object of Interest
# File Created: 2023-04-14
# Sectors: S0001-S4459
# Date of previous TOI list release: 2023-04-13
Parameter Source Pipeline,Stellar Catalog,TIC,Full TOI ID,Signal ID,TOI Disposition,EXOFOP Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,VMag Value,VMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Alerted,Edited
qlp-s06-faintsearch,tic8,130611752,2760.01,1,PC,PC,105.7521167,-43.4930811,12.8,0.006,,,2227.3998222,0.0021195,0.4405893,1.6e-06,1.075,0.159,1850.0,4.1889,"[6, 7, 8, 33]",found in faint-star QLP search,2021-06-03 22:07:24+00,
qlp-s26-ffi,gaia-dr2,364075352,2168.01,1,PC,FP,306.2231031,74.8373196,10.959,0.006,11.853,0.023,1772.93351,0.00176,37.83633,0.0004,5.713,0.273,8240.0,16.4745,"[23, 24, 26]",slightly V-shaped with 3.6 sig odd-even,2020-08-10 17:26:49+00,2020-07-19 20:26:16+00
qlp-toi-update-03-29-22,,355637190,293.01,1,PC,APC,358.154472,-54.468865,11.004,0.018,11.514,0.011,2109.9113884,0.0004196,0.8054361,6e-07,1.06,0.171,2980.0,3.70654,"[1, 2, 28, 29]",V-shaped; TFOP APC: previously retired as BEB due to chromaticity; some odd-even,2018-12-20 19:43:30+00,
qlp-s10-ffi-reprocessed,,147340931,1992.01,1,EB,FP,162.916872,-44.984775,10.3,0.059,10.711,0.035,1546.84554,0.00085,4.31224,0.00013,2.704,0.27,4990.0,1.84687,[10],same signal as 147340930; event is actually on 941340744,2020-06-17 20:08:08+00,
spoc-s01-s36-b0A-CPKP,,178155732,396.03,3,CP,CP,42.984364,-30.814529,5.91,0.019,6.38,0.03,2117.26105502042,0.0023453424,11.2304604770758,4.5497905e-05,3.60099783661596,0.2030101,208.629137029025,15.516351,"[4, 30, 31]",HR 858 d,2020-06-24 15:36:07+00,
qlp-s39-46698351,tic8,46698351,4645.01,1,PC,PC,230.7106341,-59.8353602,10.238,0.008,,,2382.7744359,0.0011188,5.0872671,1.71e-05,8.374,0.178,4800.0,0.429556,"[12, 38, 39]",inflated hot Jupiter,2021-12-03 00:45:59+00,
qlp-s61-ffi,,391903064,3353.02,2,PC,PC,106.529799,-75.819712,8.751,0.018,,,2973.7971198,0.0024105,8.8176081,2.09e-05,3.154,0.646,688.0,16.5974,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61]",potential multi,2021-06-09 21:53:07+00,
qlp,,142378043,1997.01,1,PC,PC,181.632458,-31.645668,9.866,0.018,10.261,0.006,2329.4598908,0.0012706,1.8359753,5.4e-06,1.086,0.18,840.0,1.44602,"[10, 37]",GAIA params for Target TIC 142378043: Teff = 6312 K; R = 1.642 R_solar; plx = 3.902 ± 0.036; pmra = 8.129; pmdec = -8.411,2020-06-17 20:08:08+00,
qlp-s38-tois,tic8,363661031,3185.01,1,PC,PC,200.0036521,-47.7075546,11.162,0.007,,,2355.3038051,0.0006804,3.5601365,6.3e-06,2.824,0.322,4630.0,2.16768,"[11, 37, 38]",found in faint-star QLP search,2021-06-04 13:54:22+00,2021-09-09 12:51:14+00
qlp-s26-faintsearch,tic8,141616639,4126.01,1,PC,FP,108.8179557,81.2214457,12.345,0.006,,,2032.6806488,0.0069174,3.2428744,0.0001546,2.417,0.494,1470.0,6.59101,"[19, 20, 26]",found in faint-star QLP search,2021-06-23 15:28:26+00,
